Series ID,Year,Period,Label,Value
LASST080000000000003,2020,M01,2020 Jan,2.7
LASST080000000000003,2020,M02,2020 Feb,2.8
LASST080000000000003,2020,M03,2020 Mar,4.8
LASST080000000000003,2020,M04,2020 Apr,11.6
LASST080000000000003,2020,M05,2020 May,11.8
LASST080000000000003,2020,M06,2020 Jun,11.0
LASST080000000000003,2020,M07,2020 Jul,6.6
LASST080000000000003,2020,M08,2020 Aug,6.2
LASST080000000000003,2020,M09,2020 Sep,6.4
LASST080000000000003,2020,M10,2020 Oct,6.1
LASST080000000000003,2020,M11,2020 Nov,6.2
LASST080000000000003,2020,M12,2020 Dec,6.4
LASST080000000000003,2021,M01,2021 Jan,6.2
LASST080000000000003,2021,M02,2021 Feb,6.2
LASST080000000000003,2021,M03,2021 Mar,6.1
LASST080000000000003,2021,M04,2021 Apr,6.1
LASST080000000000003,2021,M05,2021 May,5.8
LASST080000000000003,2021,M06,2021 Jun,5.9
LASST080000000000003,2021,M07,2021 Jul,5.6
LASST080000000000003,2021,M08,2021 Aug,5.3
LASST080000000000003,2021,M09,2021 Sep,4.7
LASST080000000000003,2021,M10,2021 Oct,4.5
LASST080000000000003,2021,M11,2021 Nov,4.3
LASST080000000000003,2021,M12,2021 Dec,4.2
LASST080000000000003,2022,M01,2022 Jan,4.2
LASST080000000000003,2022,M02,2022 Feb,4.0
LASST080000000000003,2022,M03,2022 Mar,3.7
LASST080000000000003,2022,M04,2022 Apr,3.6
LASST080000000000003,2022,M05,2022 May,3.5
LASST080000000000003,2022,M06,2022 Jun,3.4
LASST080000000000003,2022,M07,2022 Jul,3.3
LASST080000000000003,2022,M08,2022 Aug,3.4
LASST080000000000003,2022,M09,2022 Sep,3.4
LASST080000000000003,2022,M10,2022 Oct,3.6
LASST090000000000003,2020,M01,2020 Jan,3.4
LASST090000000000003,2020,M02,2020 Feb,3.4
LASST090000000000003,2020,M03,2020 Mar,3.4
LASST090000000000003,2020,M04,2020 Apr,8.0
LASST090000000000003,2020,M05,2020 May,11.4
LASST090000000000003,2020,M06,2020 Jun,11.1
LASST090000000000003,2020,M07,2020 Jul,11.2
LASST090000000000003,2020,M08,2020 Aug,9.5
LASST090000000000003,2020,M09,2020 Sep,8.9
LASST090000000000003,2020,M10,2020 Oct,8.1
LASST090000000000003,2020,M11,2020 Nov,7.8
LASST090000000000003,2020,M12,2020 Dec,7.7
LASST090000000000003,2021,M01,2021 Jan,7.3
LASST090000000000003,2021,M02,2021 Feb,7.2
LASST090000000000003,2021,M03,2021 Mar,7.0
LASST090000000000003,2021,M04,2021 Apr,7.0
LASST090000000000003,2021,M05,2021 May,6.7
LASST090000000000003,2021,M06,2021 Jun,6.7
LASST090000000000003,2021,M07,2021 Jul,6.3
LASST090000000000003,2021,M08,2021 Aug,6.1
LASST090000000000003,2021,M09,2021 Sep,5.6
LASST090000000000003,2021,M10,2021 Oct,5.4
LASST090000000000003,2021,M11,2021 Nov,5.2
LASST090000000000003,2021,M12,2021 Dec,5.1
LASST090000000000003,2022,M01,2022 Jan,5.3
LASST090000000000003,2022,M02,2022 Feb,4.9
LASST090000000000003,2022,M03,2022 Mar,4.6
LASST090000000000003,2022,M04,2022 Apr,4.4
LASST090000000000003,2022,M05,2022 May,4.2
LASST090000000000003,2022,M06,2022 Jun,4.0
LASST090000000000003,2022,M07,2022 Jul,3.7
LASST090000000000003,2022,M08,2022 Aug,4.1
LASST090000000000003,2022,M09,2022 Sep,4.0
LASST090000000000003,2022,M10,2022 Oct,4.3
LASST100000000000003,2020,M01,2020 Jan,3.7
